symbol,date,type,severite,valeur,prix,volume,ratio,rsi,niveau,date_datetime
AAPL,2025-04-03,MOUVEMENT_EXTREME,HAUTE,-9.245610910922164,202.49755859375,,,,,2025-04-03
AAPL,2025-04-04,MOUVEMENT_EXTREME,HAUTE,-7.288740460316124,187.738037109375,,,,,2025-04-04
AAPL,2025-04-09,MOUVEMENT_EXTREME,HAUTE,15.328841216885225,198.17234802246094,,,,,2025-04-09
AAPL,2025-04-04,VOLUME_ANORMAL,MOYENNE,,,125910900.0,1.7156513814771475,,,2025-04-04
AAPL,2025-04-07,VOLUME_ANORMAL,MOYENNE,,,160466300.0,1.7362168448186468,,,2025-04-07
AAPL,2025-04-08,VOLUME_ANORMAL,MOYENNE,,,120859500.0,1.1056347537038826,,,2025-04-08
AAPL,2025-04-09,VOLUME_ANORMAL,MOYENNE,,,184395900.0,1.3264907238541714,,,2025-04-09
AAPL,2025-04-10,VOLUME_ANORMAL,MOYENNE,,,121880000.0,0.8540844268202131,,,2025-04-10
AAPL,2025-09-19,VOLUME_ANORMAL,MOYENNE,,,163741300.0,2.2702779522460657,,,2025-09-19
AAPL,2025-12-19,VOLUME_ANORMAL,MOYENNE,,,144632000.0,2.162177677330352,,,2025-12-19
AAPL,2025-04-08,RSI_EXTREME,MOYENNE,,,,,22.809273840089418,SURVENDE,2025-04-08
AAPL,2025-07-09,RSI_EXTREME,MOYENNE,,,,,79.55765888706159,SURACHAT,2025-07-09
AAPL,2025-07-10,RSI_EXTREME,MOYENNE,,,,,79.81175150692096,SURACHAT,2025-07-10
AAPL,2025-08-21,RSI_EXTREME,MOYENNE,,,,,75.68321332009049,SURACHAT,2025-08-21
AAPL,2025-08-22,RSI_EXTREME,MOYENNE,,,,,76.6790011820761,SURACHAT,2025-08-22
AAPL,2025-08-25,RSI_EXTREME,MOYENNE,,,,,76.39698746645006,SURACHAT,2025-08-25
AAPL,2025-09-30,RSI_EXTREME,MOYENNE,,,,,82.7683879893804,SURACHAT,2025-09-30
AAPL,2025-10-01,RSI_EXTREME,MOYENNE,,,,,81.72743313705665,SURACHAT,2025-10-01
AAPL,2025-10-02,RSI_EXTREME,MOYENNE,,,,,80.58357290326344,SURACHAT,2025-10-02
AAPL,2025-10-03,RSI_EXTREME,MOYENNE,,,,,79.64406916441202,SURACHAT,2025-10-03
AAPL,2025-10-06,RSI_EXTREME,MOYENNE,,,,,75.86498890064618,SURACHAT,2025-10-06
AAPL,2025-10-08,RSI_EXTREME,MOYENNE,,,,,78.27922642199195,SURACHAT,2025-10-08
AAPL,2025-10-30,RSI_EXTREME,MOYENNE,,,,,83.89108076904486,SURACHAT,2025-10-30
AAPL,2025-10-31,RSI_EXTREME,MOYENNE,,,,,80.53245303026507,SURACHAT,2025-10-31
AAPL,2025-11-03,RSI_EXTREME,MOYENNE,,,,,77.70837037381753,SURACHAT,2025-11-03
AAPL,2025-11-04,RSI_EXTREME,MOYENNE,,,,,77.36651041710837,SURACHAT,2025-11-04
AAPL,2025-11-05,RSI_EXTREME,MOYENNE,,,,,81.48769887900323,SURACHAT,2025-11-05
AAPL,2025-11-06,RSI_EXTREME,MOYENNE,,,,,77.69330091486668,SURACHAT,2025-11-06
AAPL,2025-11-11,RSI_EXTREME,MOYENNE,,,,,83.98839767174755,SURACHAT,2025-11-11
AAPL,2025-11-12,RSI_EXTREME,MOYENNE,,,,,77.47651914045824,SURACHAT,2025-11-12
AAPL,2025-12-22,RSI_EXTREME,MOYENNE,,,,,17.726949762576822,SURVENDE,2025-12-22
AAPL,2025-12-23,RSI_EXTREME,MOYENNE,,,,,24.29132878431561,SURVENDE,2025-12-23
AAPL,2026-01-06,RSI_EXTREME,MOYENNE,,,,,24.243818901851654,SURVENDE,2026-01-06
AAPL,2026-01-07,RSI_EXTREME,MOYENNE,,,,,20.665642729523867,SURVENDE,2026-01-07
AAPL,2026-01-08,RSI_EXTREME,MOYENNE,,,,,22.003583071455836,SURVENDE,2026-01-08
AAPL,2026-01-09,RSI_EXTREME,MOYENNE,,,,,21.935218366108955,SURVENDE,2026-01-09
AAPL,2026-01-12,RSI_EXTREME,MOYENNE,,,,,19.82913465457125,SURVENDE,2026-01-12
TSLA,2025-04-09,MOUVEMENT_EXTREME,HAUTE,22.689989839624538,272.20001220703125,,,,,2025-04-09
TSLA,2025-06-05,MOUVEMENT_EXTREME,HAUTE,-14.259893789082124,284.70001220703125,,,,,2025-06-05
TSLA,2025-04-02,VOLUME_ANORMAL,MOYENNE,,,212787800.0,1.3646102666388427,,,2025-04-02
TSLA,2025-04-09,VOLUME_ANORMAL,MOYENNE,,,219433400.0,1.2301534800532439,,,2025-04-09
TSLA,2025-06-05,VOLUME_ANORMAL,MOYENNE,,,287499800.0,2.0800607624155116,,,2025-06-05
TSLA,2025-06-23,VOLUME_ANORMAL,MOYENNE,,,190716800.0,1.682544594972996,,,2025-06-23
TSLA,2025-05-09,RSI_EXTREME,MOYENNE,,,,,80.11064245345744,SURACHAT,2025-05-09
TSLA,2025-05-12,RSI_EXTREME,MOYENNE,,,,,81.62013665827344,SURACHAT,2025-05-12
TSLA,2025-05-13,RSI_EXTREME,MOYENNE,,,,,82.0327542532396,SURACHAT,2025-05-13
TSLA,2025-05-14,RSI_EXTREME,MOYENNE,,,,,82.67734062021431,SURACHAT,2025-05-14
TSLA,2025-05-15,RSI_EXTREME,MOYENNE,,,,,75.30832561918703,SURACHAT,2025-05-15
TSLA,2025-05-16,RSI_EXTREME,MOYENNE,,,,,76.58428318983707,SURACHAT,2025-05-16
TSLA,2025-05-20,RSI_EXTREME,MOYENNE,,,,,77.00595728982744,SURACHAT,2025-05-20
TSLA,2025-05-23,RSI_EXTREME,MOYENNE,,,,,75.4216716220507,SURACHAT,2025-05-23
TSLA,2025-05-27,RSI_EXTREME,MOYENNE,,,,,82.4606835128877,SURACHAT,2025-05-27
