article_id,symbol,company,date_publication,source,api_source,titre,contenu,score_sentiment,sentiment,confiance,poids,score_pondere,url,date_analyse,ajout_date
eedf04a69787e65a,TSLA,Tesla,2026-01-10,Yahoo Entertainment,newsapi,"If You Invested $500 or More in Tesla Stock at the Beginning of 2025, Here’s How Much You’d Have Now","If You Invested $500 or More in Tesla Stock at the Beginning of 2025, Here’s How Much You’d Have Now. Tesla (TSLA) shareholders had a wild ride in 2025, filled with extreme highs and lows for both its stock and its CEO, Elon Musk. After the dust settled, however, you still did very well if you inves...",0.0,neutral,0.727,1.3,0.0,https://finance.yahoo.com/news/invested-500-more-tesla-stock-141305155.html,2026-01-13 11:04:05,2026-01-13
6d68a89184570375,TSLA,Tesla,2026-01-11,MarketBeat,newsapi,This ETF Is Proof That the Healthcare Rebound Is Real,"This ETF Is Proof That the Healthcare Rebound Is Real. Caduceus symbol on trading floor with rising stock charts, highlighting healthcare stocks and market momentum.
<ul><li>After years of trailing the S&amp;P 500, health care has rebounded, leading all… [+5077 chars]",0.944,positive,0.944,1.58,1.496,https://www.marketbeat.com/originals/this-etf-is-proof-that-the-healthcare-rebound-is-real/?utm_source=yahoofinance&amp;utm_medium=yahoofinance,2026-01-13 11:04:05,2026-01-13
35f3c1ed2520a48f,TSLA,Tesla,2026-01-10,Yahoo Entertainment,newsapi,Nvidia takes on Tesla with what Jensen Huang calls the 'ChatGPT moment' for self-driving,"Nvidia takes on Tesla with what Jensen Huang calls the 'ChatGPT moment' for self-driving. ""The ChatGPT moment for physical AI is here when machines begin to understand, reason, and act in the real world.""
So said Nvidia (NVDA) CEO Jensen Huang at CES in Las Vegas, throwing down the the r… [+10301 c...",0.0,neutral,0.86,1.3,0.0,https://finance.yahoo.com/news/nvidia-takes-on-tesla-with-what-jensen-huang-calls-the-chatgpt-moment-for-self-driving-160045664.html,2026-01-13 11:04:05,2026-01-13
65b55b42d540f236,TSLA,Tesla,2026-01-12,GlobeNewswire,newsapi,"Bitget’s Stock Futures Surge Past $15B, Unlocking a New Era of Onchain Equity Trading","Bitget’s Stock Futures Surge Past $15B, Unlocking a New Era of Onchain Equity Trading. VICTORIA, Seychelles, Jan. 12, 2026 (GLOBE NEWSWIRE) -- Bitget, the worlds largest Universal Exchange (UEX), has revealed that its US stock futures have surpassed $15 billion in cumulative trading vo… [+3705 chars...",0.933,positive,0.933,1.58,1.478,https://www.globenewswire.com/news-release/2026/01/12/3216634/0/en/Bitget-s-Stock-Futures-Surge-Past-15B-Unlocking-a-New-Era-of-Onchain-Equity-Trading.html,2026-01-13 11:04:05,2026-01-13
73986f7b617ebece,TSLA,Tesla,2026-01-12,Investor's Business Daily,gnews,"Dow Falls On Powell Investigation; Nvidia, Tesla Slide (Live)| Investor's Business Daily","Dow Falls On Powell Investigation; Nvidia, Tesla Slide (Live)| Investor's Business Daily. Information in Investor’s Business Daily is for informational and educational purposes only and should not be construed as an offer, recommendation, solicitation, or rating to buy or sell securities. The inform...",0.0,neutral,0.949,1.56,0.0,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-powell-nvidia-nvda-tesla-tsla/,2026-01-13 11:04:05,2026-01-13
73268fa0367862a9,TSLA,Tesla,2026-01-10,Yahoo Entertainment,newsapi,Why Evercore Expects Tesla (TSLA) Shares to Trade Sideways in the Near Term,"Why Evercore Expects Tesla (TSLA) Shares to Trade Sideways in the Near Term. If you click 'Accept all', we and our partners, including 245 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]",0.0,neutral,0.937,1.08,0.0,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_02295df3-34f5-4a4d-9816-b6116cb384b1,2026-01-13 11:04:06,2026-01-13
fae42ede5f7e8d1f,TSLA,Tesla,2026-01-13,Investing.com,gnews,America’s New Favorite EV Isn’t Tesla-And the Stock May Surprise,"America’s New Favorite EV Isn’t Tesla-And the Stock May Surprise. After gaining just 6% last year, consumer discretionary stocks entered 2026 looking for some relief from the fallout from tariffs, margin compression, and a weakening labor market.
But for automotive stocks, the situation was a little...",-0.474,negative,0.474,1.32,-0.626,https://www.investing.com/analysis/americas-new-favorite-ev-isnt-teslaand-the-stock-may-surprise-200673171,2026-01-14 20:19:42,2026-01-14
9d4e670e734edf43,TSLA,Tesla,2026-01-14,Investor's Business Daily,gnews,"Dow Jones Futures: Market Split With Tesla, Broadcom, AppLovin, Wells Fargo Key Losers; Nvidia Chipmaker Due","Dow Jones Futures: Market Split With Tesla, Broadcom, AppLovin, Wells Fargo Key Losers; Nvidia Chipmaker Due. Information in Investor’s Business Daily is for informational and educational purposes only and should not be construed as an offer, recommendation, solicitation, or rating to buy or sell se...",0.0,neutral,0.944,1.56,0.0,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-tesla-broadcom-applovin-wells-fargo-losers-nvidia-chipmaker-taiwan-semi/,2026-01-15 10:04:43,2026-01-15
a1b0e0ac2767666c,TSLA,Tesla,2026-01-14,Barchart.com,newsapi,Stock Indexes Settle Lower on Tech Weakness,"Stock Indexes Settle Lower on Tech Weakness. US Nov retail sales rose +0.6% m/m, stronger than expectations of +0.5% m/m.  Also, Nov retail sales ex-autos rose +0.5% m/m, stronger than expectations of +0.4% m/m.
US Dec existing home sales rose… [+8212 chars]",0.792,positive,0.792,1.58,1.255,https://www.barchart.com/story/news/37048717/stock-indexes-settle-lower-on-tech-weakness,2026-01-16 20:20:26,2026-01-16
2fe8d915ff1e5c88,TSLA,Tesla,2026-01-15,GlobeNewswire,newsapi,Lithium Reclaims Its Role as a Critical Growth Metal as Miners Ramp Up Operations in 2026,"Lithium Reclaims Its Role as a Critical Growth Metal as Miners Ramp Up Operations in 2026. NEW YORK, Jan. 15, 2026 (GLOBE NEWSWIRE) -- Market News UpdatesNews Commentary - Lithium demand is picking up real momentum as electric vehicles and energy storage continue to scale globally. EVs rem… [+13555 ...",0.877,positive,0.877,1.58,1.389,https://www.globenewswire.com/news-release/2026/01/15/3219571/0/en/Lithium-Reclaims-Its-Role-as-a-Critical-Growth-Metal-as-Miners-Ramp-Up-Operations-in-2026.html,2026-01-16 20:20:27,2026-01-16
