date,Open,High,Low,Close,Volume,symbol
2023-11-20,371.22,378.87,371.0,377.44,52528964,MSFT
2023-11-21,375.67,376.2215,371.12,373.07,28423145,MSFT
2023-11-22,378.0,379.7899,374.965,377.85,23361184,MSFT
2023-11-24,377.33,377.97,375.135,377.43,10176649,MSFT
2023-11-27,376.78,380.64,376.2,378.61,22179228,MSFT
2023-11-28,378.35,383.0,378.16,382.7,20453112,MSFT
2023-11-29,383.76,384.3,377.44,378.85,28963399,MSFT
2023-11-30,378.49,380.09,375.47,378.91,30554415,MSFT
2023-12-01,376.76,378.16,371.31,374.51,33040472,MSFT
2023-12-04,369.1,369.52,362.9,369.14,32063305,MSFT
2023-12-05,366.45,373.075,365.621,372.52,23065035,MSFT
2023-12-06,373.54,374.18,368.03,368.8,21118348,MSFT
2023-12-07,368.23,371.4527,366.32,370.95,23118864,MSFT
2023-12-08,369.2,374.46,368.23,374.23,20154366,MSFT
2023-12-11,368.48,371.6,366.1,371.3,27708757,MSFT
2023-12-12,370.85,374.42,370.46,374.38,24838253,MSFT
2023-12-13,376.02,377.6361,370.77,374.37,30955531,MSFT
2023-12-14,373.31,373.76,364.13,365.93,43277461,MSFT
2023-12-15,366.85,372.4,366.28,370.73,78502324,MSFT
2023-12-18,369.45,373.0,368.68,372.65,21802878,MSFT
2023-12-19,371.49,373.26,369.84,373.26,20533284,MSFT
2023-12-20,375.0,376.03,370.53,370.62,26316650,MSFT
2023-12-21,372.56,374.41,370.04,373.54,17708006,MSFT
2023-12-22,373.68,375.18,372.71,374.58,17107484,MSFT
2023-12-26,375.0,376.94,373.5,374.66,12673050,MSFT
2023-12-27,373.69,375.06,372.8116,374.07,14872756,MSFT
2023-12-28,375.37,376.458,374.16,375.28,14327013,MSFT
2023-12-29,376.0,377.16,373.48,376.04,18730838,MSFT
2024-01-02,373.86,375.9,366.771,370.87,25258633,MSFT
2024-01-03,369.01,373.2562,368.51,370.6,23083465,MSFT
2024-01-04,370.665,373.1,367.17,367.94,20901502,MSFT
2024-01-05,368.97,372.06,366.5,367.75,20074451,MSFT
2024-01-08,369.3,375.2,369.01,374.69,23133967,MSFT
2024-01-09,372.01,375.99,371.19,375.79,20829953,MSFT
2024-01-10,376.37,384.17,376.32,382.77,25514245,MSFT
2024-01-11,386.0,390.68,380.38,384.63,27850846,MSFT
2024-01-12,385.49,388.68,384.65,388.47,21661153,MSFT
2024-01-16,393.66,394.03,387.6229,390.27,27202268,MSFT
2024-01-17,387.98,390.11,384.81,389.47,22234108,MSFT
2024-01-18,391.72,393.99,390.12,393.87,23392068,MSFT
2024-01-19,395.76,398.67,393.5,398.67,29331136,MSFT
2024-01-22,400.02,400.62,393.59,396.51,27016902,MSFT
2024-01-23,395.75,399.38,393.93,398.9,20525882,MSFT
2024-01-24,401.54,405.63,400.45,402.56,23281889,MSFT
2024-01-25,404.32,407.01,402.5294,404.87,21021155,MSFT
2024-01-26,404.37,406.17,402.43,403.93,17803271,MSFT
2024-01-29,406.06,409.98,404.33,409.72,24510236,MSFT
2024-01-30,412.26,413.05,406.4501,408.59,33477610,MSFT
2024-01-31,406.96,415.32,397.21,397.58,47871097,MSFT
2024-02-01,401.83,408.0,401.8,403.78,30657726,MSFT
2024-02-02,403.81,412.65,403.56,411.22,28256670,MSFT
2024-02-05,409.9,411.16,403.99,405.65,25352286,MSFT
2024-02-06,405.88,407.97,402.91,405.49,18382624,MSFT
2024-02-07,407.44,414.3,407.4,414.05,22340526,MSFT
2024-02-08,414.05,415.56,412.53,414.11,21225257,MSFT
2024-02-09,415.25,420.82,415.09,420.55,22032844,MSFT
2024-02-12,420.555,420.74,414.75,415.26,21202921,MSFT
2024-02-13,404.94,410.071,403.39,406.32,27824936,MSFT
2024-02-14,408.07,409.84,404.57,409.49,20401190,MSFT
2024-02-15,408.14,409.13,404.29,406.56,21825525,MSFT
2024-02-16,407.96,408.29,403.44,404.06,22296495,MSFT
2024-02-20,403.24,404.49,398.01,402.79,24307915,MSFT
2024-02-21,400.17,402.29,397.22,402.18,18631072,MSFT
2024-02-22,410.19,412.83,408.57,411.65,27009869,MSFT
2024-02-23,415.67,415.86,408.97,410.34,16295879,MSFT
2024-02-26,411.455,412.16,407.36,407.54,16193505,MSFT
2024-02-27,407.99,408.32,403.85,407.48,14835827,MSFT
2024-02-28,408.175,409.3,405.3201,407.72,13183125,MSFT
2024-02-29,408.64,414.2,405.92,413.64,31947263,MSFT
2024-03-01,411.27,415.87,410.88,415.5,17823445,MSFT
2024-03-04,413.44,417.35,412.32,414.92,17595956,MSFT
2024-03-05,413.96,414.25,400.64,402.65,26919177,MSFT
2024-03-06,402.97,405.16,398.39,402.09,22344149,MSFT
2024-03-07,406.12,409.78,402.24,409.14,18718479,MSFT
2024-03-08,407.96,410.42,404.33,406.22,18002186,MSFT
2024-03-11,403.76,405.68,401.26,404.52,15998511,MSFT
2024-03-12,407.62,415.57,406.79,415.28,21563656,MSFT
2024-03-13,418.1,418.18,411.45,415.1,16990048,MSFT
2024-03-14,420.24,427.82,417.99,425.22,33955263,MSFT
2024-03-15,419.29,422.6,412.79,416.42,45079903,MSFT
2024-03-18,414.25,420.73,413.78,417.32,20105977,MSFT
2024-03-19,417.83,421.6656,415.55,421.41,19837915,MSFT
2024-03-20,422.0,425.96,420.66,425.23,17860085,MSFT
2024-03-21,429.83,430.82,427.16,429.37,21296222,MSFT
2024-03-22,429.7,429.86,426.07,428.74,17648473,MSFT
2024-03-25,425.24,427.41,421.61,422.86,18060450,MSFT
2024-03-26,425.61,425.99,421.35,421.65,16725647,MSFT
2024-03-27,424.44,424.45,419.01,421.43,16704978,MSFT
2024-03-28,420.96,421.87,419.12,420.72,21871161,MSFT
2024-04-01,423.95,427.89,422.22,424.57,15602611,MSFT
2024-04-02,420.11,422.38,417.84,421.44,17861855,MSFT
2024-04-03,419.73,423.26,419.085,420.45,16462007,MSFT
2024-04-04,424.99,428.67,417.57,417.88,19290884,MSFT
2024-04-05,420.01,426.51,418.32,425.52,16526878,MSFT
2024-04-08,425.17,427.28,423.3,424.59,14248192,MSFT
2024-04-09,426.44,427.74,421.62,426.28,12468710,MSFT
2024-04-10,422.19,424.03,419.7,423.26,16216581,MSFT
2024-04-11,425.82,429.37,422.36,427.93,17966423,MSFT
2024-04-12,424.05,425.1794,419.77,421.9,19253750,MSFT
2024-04-15,426.6,426.82,413.43,413.64,20273538,MSFT
2024-04-16,414.57,418.4,413.7301,414.58,16765616,MSFT
2024-04-17,417.25,418.88,410.33,411.84,15855485,MSFT
2024-04-18,410.63,411.89,403.95,404.27,21029917,MSFT
2024-04-19,404.03,405.48,397.77,399.12,30565789,MSFT
2024-04-22,400.08,402.85,395.75,400.96,20286875,MSFT
2024-04-23,404.235,408.2,403.06,407.57,15734501,MSFT
2024-04-24,409.56,412.47,406.78,409.06,15065330,MSFT
2024-04-25,394.03,399.8899,388.03,399.04,40586450,MSFT
2024-04-26,412.17,413.0,405.7601,406.32,29694654,MSFT
2024-04-29,405.25,406.32,399.19,402.25,19582091,MSFT
2024-04-30,401.49,402.16,389.17,389.33,28781374,MSFT
2024-05-01,392.61,401.7199,390.31,394.94,23562481,MSFT
2024-05-02,397.66,399.93,394.6515,397.84,17709364,MSFT
2024-05-03,402.28,407.15,401.86,406.66,17446724,MSFT
2024-05-06,408.76,413.93,406.3701,413.54,16996639,MSFT
2024-05-07,414.66,414.67,409.09,409.34,20018228,MSFT
2024-05-08,408.17,412.23,406.7132,410.54,11792308,MSFT
2024-05-09,410.57,412.72,409.1,412.32,14689727,MSFT
2024-05-10,412.935,415.38,411.8,414.74,13402281,MSFT
2024-05-13,418.01,418.348,410.82,413.72,15440226,MSFT
2024-05-14,412.02,417.49,411.55,416.56,15109306,MSFT
2024-05-15,417.9,423.81,417.27,423.08,22239533,MSFT
2024-05-16,421.8,425.42,420.35,420.99,17530050,MSFT
2024-05-17,422.54,422.92,418.025,420.21,15352239,MSFT
2024-05-20,420.21,426.77,419.99,425.34,16272137,MSFT
2024-05-21,426.825,432.97,424.85,429.04,21453255,MSFT
2024-05-22,430.09,432.41,427.13,430.52,18073698,MSFT
2024-05-23,432.97,433.6,425.424,427.0,17211689,MSFT
2024-05-24,427.19,431.055,424.41,430.16,11855285,MSFT
2024-05-28,429.63,430.82,426.6,430.32,15718024,MSFT
2024-05-29,425.69,430.94,425.69,429.17,15517130,MSFT
2024-05-30,424.3,424.3,414.24,414.67,28424847,MSFT
2024-05-31,416.75,416.75,404.51,415.13,47995250,MSFT
2024-06-03,415.525,416.43,408.9234,413.52,17484675,MSFT
2024-06-04,412.43,416.44,409.675,416.07,14348917,MSFT
2024-06-05,417.81,424.08,416.3,424.01,16988038,MSFT
2024-06-06,424.01,425.31,420.58,424.52,14861251,MSFT
2024-06-07,426.2,426.28,423.0,423.85,13621650,MSFT
2024-06-10,424.7,428.08,423.89,427.87,14003034,MSFT
2024-06-11,425.475,432.82,425.25,432.68,14551101,MSFT
2024-06-12,435.32,443.4,433.25,441.06,22366233,MSFT
