date,Open,High,Low,Close,Volume,symbol,price_change,daily_return,high_low_ratio,volume_change,MA_5,MA_10,MA_20,MA_50,MA_5_ratio,MA_10_ratio,MA_20_ratio,RSI_14,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_position,volatility_5,volatility_10,volatility_20,momentum_5,momentum_10,target_5_days,target_direction,date_dt,day_of_week,month,quarter
2024-02-01,396.6677820088373,402.75853089052634,396.6381686159988,398.5927429199219,30657700,MSFT,0.015594295603231556,1.5594295603231556,1.015430593318549,-0.3595781170685445,399.5206726074219,397.3400634765625,387.0016098022461,376.27619201660156,0.9976773925578268,1.0031526633191703,1.0299511237785257,68.69017180795117,7.577806154236214,6.904300099187032,0.6735060550491818,387.0016098022461,412.5643679716919,361.43885163280027,0.7267191404159629,0.01722553010543135,0.012708149712788146,0.010707940112851972,-0.0026922776780637925,0.025160574192843566,0.025583245866136473,1,2024-02-01,3,2,1
2024-02-02,398.6223850112119,407.3488168603616,398.375596677948,405.93719482421875,28256700,MSFT,0.018425954899465857,1.8425954899465857,1.0225245227299091,-0.07831637728857677,400.9599548339844,398.5789398193359,389.1378112792969,376.94311279296875,1.0124133094345922,1.018461223787233,1.0431707818104172,70.74590477736976,7.9406816394657085,7.111576407242768,0.8291052322229406,389.1378112792969,413.43989491237426,364.83572764621954,0.8456366910460376,0.01905461864511844,0.013369192494875509,0.010787292417655227,0.018047843178193634,0.03147964123188984,0.022688518428026327,1,2024-02-02,4,2,1
2024-02-05,404.63412212946537,405.87794489838444,398.800042648597,400.438720703125,25352300,MSFT,-0.013545135038622758,-1.3545135038622758,1.0177479977253265,-0.1027862418470663,400.1564025878906,399.48119201660154,391.00846710205076,377.58634094238283,1.0007055194254262,1.0023969305831142,1.0241177733847207,63.12282351054396,7.6958689798920545,7.228434921772625,0.4674340581194292,391.00846710205076,412.43734413103994,369.5795900730616,0.7200361126790944,0.01925383655322711,0.014173141004233407,0.011544886851268818,-0.009933729362578081,0.02305096723620581,0.02369037072985747,1,2024-02-05,0,2,1
2024-02-06,400.6657964934495,402.72894332826615,397.7339499122829,400.2807922363281,18382600,MSFT,-0.000394388600881479,-0.0394388600881479,1.012558629750075,-0.27491391313608626,399.54437255859375,400.13172607421876,392.52868194580077,378.13203857421877,1.0018431486671142,1.000372542721298,1.0197491562962977,63.81982666244941,7.403763696779151,7.263500676773932,0.14026302000521973,392.52868194580077,411.8562155170872,373.20114837451433,0.7005457722252808,0.019254856276581658,0.014134564073628125,0.011120745111601894,-0.007587005991521623,0.016520432009525576,0.0020469791980284313,1,2024-02-06,1,2,1
2024-02-07,402.2057357082919,408.97759276390855,402.16624114185635,408.7308044433594,22340500,MSFT,0.021110211558795777,2.1110211558795777,1.0169366568479565,0.21530686627571716,402.7960510253906,401.2659637451172,394.41710205078124,378.85502868652344,1.014733891761999,1.018603224227071,1.0362907752177928,66.24270989940794,7.764607953627319,7.363722132144609,0.40088582148271,394.41710205078124,412.1902996658355,376.643904435727,0.9026766230420504,0.014770125637087907,0.01528973645902154,0.011752391751216583,0.041425567332496804,0.028542292420668858,-0.009184225146754432,0,2024-02-07,2,2,1
2024-02-08,408.7308122744756,410.22142339932105,407.23035010197816,408.7900390625,21225300,MSFT,0.000144923305257727,0.0144923305257727,1.0073449174320968,-0.04991830979611023,404.83551025390625,402.17809143066404,395.96397094726564,379.5559069824219,1.0097682360080358,1.016440347628871,1.032392008001512,63.454102389071146,7.96356039851247,7.483689785418182,0.47987061309428825,395.96397094726564,413.038455923471,378.88948597106025,0.8755916542463354,0.014459239511972043,0.015277637268863479,0.011341216267214689,0.025583245866136473,0.022822090986295063,-0.01641636367328314,0,2024-02-08,3,2,1
2024-02-09,409.9154079087516,415.4138590210017,409.757459765656,415.1473083496094,22032800,MSFT,0.015551429045797871,1.555142904579787,1.0138042618152228,0.038044220811955576,406.6775329589844,403.81874389648436,397.73689727783204,380.30318115234377,1.0208267600351535,1.0280535874680177,1.0437736885638136,69.49390906998816,8.535814588792846,7.694114746093115,0.8416998426997306,397.73689727783204,415.0577637405655,380.41603081509857,1.002584876721858,0.01384336393029078,0.015707913811159796,0.011631939353826939,0.022688518428026327,0.041145840428754576,-0.03743376635520135,0,2024-02-09,4,2,1
2024-02-12,415.1571625521398,415.3348429045064,409.4218046606071,409.9252624511719,21202900,MSFT,-0.012578778167194216,-1.2578778167194216,1.0144424116561181,-0.037666569841327435,408.57484130859376,404.36562194824216,399.0591873168945,381.0220263671875,1.0033051989649018,1.0137490434427716,1.0272292318523883,62.67033339063587,8.470314186558369,7.849354634186167,0.6209595523722022,399.0591873168945,415.8261456003831,382.29222903340593,0.8240323900900332,0.013530373413846292,0.01607081161398672,0.012158247326949109,0.02369037072985747,0.013521307635949942,-0.028235618705206855,0,2024-02-12,0,2,1
2024-02-13,399.73788224054636,404.80198377503444,398.2078065895252,401.10015869140625,27824900,MSFT,-0.02152856768815714,-2.152856768815714,1.0165596381497024,0.3123157681260582,408.73871459960935,404.14154357910155,399.85137939453125,381.56318420410156,0.9813118854775339,0.9924744561997745,1.0031231086379293,52.6918864939565,7.618471529480985,7.803178013245131,-0.18470648376414633,399.85137939453125,415.31928641532403,384.38347237373847,0.540366783146431,0.01808145950587165,0.01763803692992799,0.013367023040832102,0.0020469791980284313,-0.0055555572369331285,-0.008358663192132854,0,2024-02-13,1,2,1
2024-02-14,403.5725956832902,405.32307733535373,400.111169801605,404.9769287109375,20401200,MSFT,0.009665341525117555,0.9665341525117555,1.0130261485484973,-0.2668005994630709,407.987939453125,405.3919952392578,400.87689514160155,382.2687463378906,0.992619853551986,0.9989761353623291,1.010227662454549,53.76255605827378,7.1735112552150895,7.677244661639123,-0.5037334064240335,400.87689514160155,414.68012354068827,387.07366674251483,0.6485171965135064,0.015343519610106729,0.015142607758440198,0.013432025223786382,-0.009184225146754432,0.03186088044852875,0.005274717556911446,1,2024-02-14,2,2,1
2024-02-15,403.6417964220221,404.62087571418016,399.8342222462888,402.0791931152344,21825500,MSFT,-0.007155310315890784,-0.7155310315890784,1.0119715952301425,0.06981452071446781,406.64577026367186,405.7406402587891,401.5403518676758,383.0223736572266,0.9887701348879727,0.9909758925277503,1.001341935486813,52.30206159229522,6.511987844606381,7.444193298232575,-0.9322054536261941,401.5403518676758,414.1231034053107,388.95760033004086,0.5214119004872234,0.01546508192528924,0.014785776111758167,0.013443278788061187,-0.01641636367328314,0.008746898324771823,0.009297527325878852,1,2024-02-15,3,2,1
